X;Y;Width;PlatformType
0;750;900;Solid
5;350;170;Solid
600;450;170;Solid
200;100;170;Solid
450;-118;170;Solid
350;-418;170;SemiSolid
470;-668;100;Solid
50;-886;100;Solid
400;-1166;70;Solid
50;-1306;100;Falling
200;-1629;100;SemiSolid
500;-1854;70;Solid
470;-2149;100;SemiSolid
350;-2472;50;Falling
500;-2622;300;Solid
100;-2922;100;SemiSolid
150;-3270;140;Solid
350;-3490;100;Solid
600;-3690;150;SemiSolid
375;-4158;50;SemiSolid
350;-4458;100;Solid
100;-4776;100;SemiSolid
390;-5091;100;SemiSolid
600;-5444;100;SemiSolid
350;-5794;100;Solid
300;-6044;100;Solid
150;-6312;100;SemiSolid
500;-6612;100;Solid
150;-7080;100;SemiSolid
500;-7380;100;Falling
0;-7698;900;SemiSolid
0;-8400;900;Solid
